,trade_date,open,high,close,low,vol,change
1647,20130926,2422.631,2422.631,2384.443,2382.535,86236770.0,-44.587
1646,20130927,2382.218,2402.196,2394.971,2379.856,65971508.0,10.528
1645,20130930,2406.205,2415.075,2409.037,2397.22,59513992.0,14.066
1644,20131008,2406.415,2446.703,2441.811,2392.572,84785506.0,32.774
1643,20131009,2432.94,2453.746,2453.583,2424.769,76277645.0,11.772
1642,20131010,2455.64,2455.979,2429.317,2422.017,90329706.0,-24.266
1641,20131011,2442.364,2471.165,2468.508,2439.634,93388261.0,39.191
1640,20131014,2472.267,2483.131,2472.542,2462.551,100081301.0,4.034
1639,20131015,2475.324,2479.134,2467.517,2449.416,89173496.0,-5.025
1638,20131016,2459.077,2459.077,2421.371,2409.718,88979834.0,-46.146
1637,20131017,2432.645,2440.919,2413.33,2407.777,71222474.0,-8.041
1636,20131018,2415.118,2435.712,2426.054,2410.599,60291630.0,12.724
1635,20131021,2431.915,2472.785,2471.322,2423.562,84909795.0,45.268
1634,20131022,2470.255,2470.255,2445.891,2439.859,90703029.0,-25.431
1633,20131023,2451.556,2474.372,2418.491,2412.483,91545355.0,-27.4
1632,20131024,2412.235,2422.943,2400.511,2395.474,64560821.0,-17.98
1631,20131025,2400.517,2413.332,2368.559,2353.993,77070182.0,-31.952
1630,20131028,2372.571,2377.249,2365.954,2351.862,62876152.0,-2.605
1629,20131029,2369.216,2408.616,2372.053,2327.904,106737833.0,6.099
1628,20131030,2371.853,2407.851,2407.471,2365.506,92178126.0,35.418
1627,20131031,2398.395,2398.395,2373.718,2370.226,82736964.0,-33.753
1626,20131101,2373.962,2395.005,2384.96,2365.146,63055762.0,11.242
1625,20131104,2397.21,2404.896,2380.454,2376.355,51798461.0,-4.506
1624,20131105,2366.884,2385.688,2383.769,2343.801,62084488.0,3.315
1623,20131106,2371.324,2383.54,2353.568,2352.787,63776663.0,-30.201
1622,20131107,2351.871,2356.672,2340.552,2328.253,54821747.0,-13.016
1621,20131108,2329.084,2342.672,2307.945,2306.041,53788508.0,-32.607
1620,20131111,2305.94,2325.228,2315.889,2295.003,45739457.0,7.944
1619,20131112,2319.362,2342.529,2340.0,2316.603,52687545.0,24.111
1618,20131113,2325.36,2325.563,2288.116,2287.547,59848831.0,-51.884
1617,20131114,2291.269,2305.696,2304.501,2279.006,57310356.0,16.385
1616,20131115,2306.549,2377.211,2350.734,2306.549,86391771.0,46.233
1615,20131118,2367.883,2429.566,2428.903,2361.038,110034633.0,78.169
1614,20131119,2427.928,2427.928,2412.163,2405.076,78648296.0,-16.74
1613,20131120,2428.767,2435.427,2424.85,2406.417,72291801.0,12.687
1612,20131121,2412.451,2415.383,2409.989,2382.878,87706677.0,-14.861
1611,20131122,2415.29,2418.999,2397.962,2393.581,75000675.0,-12.027
1610,20131125,2385.784,2418.853,2388.629,2380.689,66144734.0,-9.333
1609,20131126,2387.826,2399.022,2387.416,2380.412,59185864.0,-1.213
1608,20131127,2386.362,2422.806,2414.481,2383.78,75294088.0,27.065
1607,20131128,2419.15,2460.556,2439.53,2417.235,90660406.0,25.049
1606,20131129,2442.676,2446.395,2438.944,2432.387,61803746.0,-0.586
1605,20131202,2423.969,2464.863,2418.788,2397.007,119655123.0,-20.156
1604,20131203,2410.693,2448.333,2442.784,2406.663,74455752.0,23.996
1603,20131204,2439.824,2486.64,2475.135,2434.694,102650235.0,32.351
1602,20131205,2476.453,2481.747,2468.197,2460.576,77708932.0,-6.938
1601,20131206,2463.043,2470.813,2452.287,2445.623,66114089.0,-15.91
1600,20131209,2460.028,2468.948,2450.872,2445.94,57164884.0,-1.415
1599,20131210,2456.23,2466.66,2453.322,2444.526,66941424.0,2.45
1598,20131211,2440.503,2440.503,2412.763,2400.742,68075144.0,-40.559
1597,20131212,2406.766,2423.309,2410.015,2402.769,50147719.0,-2.748
1596,20131213,2388.659,2416.26,2406.639,2386.246,51501196.0,-3.376
1595,20131216,2408.678,2412.734,2367.923,2367.43,64581674.0,-38.716
1594,20131217,2369.255,2373.286,2356.376,2351.183,48483891.0,-11.547
1593,20131218,2356.703,2368.583,2357.226,2350.451,40015207.0,0.85
1592,20131219,2366.205,2370.991,2332.41,2331.194,48095680.0,-24.816
